Key,Id,English(en),German(de)
"line:04fc45a",152647335957,"Em_Past: Ein bisschen, aber das ist ja normal.","Em_Past: Ein bisschen, aber das ist ja normal."
"line:072d9f2",152647335958,"Em_Past: Ein bisschen, aber das ist ja normal.","Em_Past: Ein bisschen, aber das ist ja normal."
"line:09ca675",152647335959,"Fabian: Ha! Das sagt Michi auch immer.","Fabian: Ha! Das sagt Michi auch immer."
"line:072d274",152647335960,"Fabian: Keine Angst, für dich gibts eh nicht so viel zu tun.","Fabian: Keine Angst, für dich gibts eh nicht so viel zu tun."
"line:025118a",152647335961,"Em_Past: Warum nimmst du mich eigentlich so spontan mit?","Em_Past: Warum nimmst du mich eigentlich so spontan mit?"
"line:01b7d21",152647335962,"Fabian: Der Bursch, der kann leider nicht.","Fabian: Der Bursch, der kann leider nicht."
"line:0e4e90b",152647335963,"Fabian: Und für dich ist es ja auch keine schlechte Übung.","Fabian: Und für dich ist es ja auch keine schlechte Übung."
"line:06b3b44",152647335964,"Em_Past: Michi ist also krank?","Em_Past: Michi ist also krank?"
"line:02ff7b3",152647335965,"Em_Past: Michi ist also krank?","Em_Past: Michi ist also krank?"
"line:0187555",152647335966,"Fabian: Nein, nein, der Junge hat heute Führerscheinprüfung.","Fabian: Nein, nein, der Junge hat heute Führerscheinprüfung."
"line:07562be",152647335967,"Fabian: Von einer Erkältung würd der sich nicht unterkriegen lassen.","Fabian: Von einer Erkältung würd der sich nicht unterkriegen lassen."
"line:0b5d30f",152647335968,"Em_Past: So cool das ich dabei sein darf!","Em_Past: So cool das ich dabei sein darf!"
"line:0d70487",152647335969,"Em_Past: So cool das ich dabei sein darf!","Em_Past: So cool das ich dabei sein darf!"
"line:077c81d",152647335970,"Fabian: Vielleicht nehm ich dich ja öfter mit, wenn du heute brav bist.","Fabian: Vielleicht nehm ich dich ja öfter mit, wenn du heute brav bist."
"line:01929ec",152647335971,"Fabian: Du bist ja erst seit einer Woche da.","Fabian: Du bist ja erst seit einer Woche da."
"line:014f18e",152647335972,"Em_Past: Eigentlich schon seit drei ...","Em_Past: Eigentlich schon seit drei ..."
"line:09a4415",152647335973,"Em_Past: Eigentlich schon seit drei ...","Em_Past: Eigentlich schon seit drei ..."
"line:06333a9",152647335974,"Fabian: Ach ja. Bei so viel Stress kommt man leicht durcheinander.","Fabian: Ach ja. Bei so viel Stress kommt man leicht durcheinander."
"line:02cc25d",152647335975,"Em_Past: … so ungefähr.","Em_Past: … so ungefähr."
"line:0c5db6d",152647335976,"Em_Past: … so ungefähr.","Em_Past: … so ungefähr."
"line:063f346",152647335977,"Fabian: Heute kannst du dich austoben -","Fabian: Heute kannst du dich austoben -"
"line:054dfe8",152647335978,"Fabian: dann musst du nicht die ganze zeit in der Firma hocken.","Fabian: dann musst du nicht die ganze zeit in der Firma hocken."
"line:0f2dcbf",152647335979,"Em_Past: Der chef gibt mir ja immer so trockene Büroarbeit auf-","Em_Past: Der chef gibt mir ja immer so trockene Büroarbeit auf-"
"line:03bb757",152647335980,"Fabian: Nimms als Kompliment. Du bist so ordentlich, der Bursch könnt das gar nicht.","Fabian: Nimms als Kompliment. Du bist so ordentlich, der Bursch könnt das gar nicht."
"line:04d789f",152647335981,"Fabian: Der ist eher besser im Hand anlegen.","Fabian: Der ist eher besser im Hand anlegen."
"line:089c35c",152647335982,"Em_Past: Equipment einladen schaff ich ja auch noch.","Em_Past: Equipment einladen schaff ich ja auch noch."
"line:01032dd",152647335983,"Em_Past: Equipment einladen schaff ich ja auch noch.","Em_Past: Equipment einladen schaff ich ja auch noch."
"line:07f61de",152647335984,"Fabian: Das ganze Kamerazeug?","Fabian: Das ganze Kamerazeug?"
"line:05ad17a",152647335985,"Em_Past: So ordentlich bin ich ja gar nicht ...","Em_Past: So ordentlich bin ich ja gar nicht ..."
"line:0e4db20",152647335986,"Em_Past: So ordentlich bin ich ja gar nicht ...","Em_Past: So ordentlich bin ich ja gar nicht ..."
"line:0f8c1b0",152647335987,"Fabian: ...","Fabian: ..."
"line:069b444",152647335988,"Em_Past: Ist das eine Blackmagic Filmkamera?","Em_Past: Ist das eine Blackmagic Filmkamera?"
"line:041c2fb",152647335989,"Fabian: Na du kennst dich aber aus.","Fabian: Na du kennst dich aber aus."
"line:0a2750c",152647335990,"Fabian: Ja, für ein kurzes Interview mit dem Kunden.","Fabian: Ja, für ein kurzes Interview mit dem Kunden."
"line:0715a82",152647335991,"Fabian: Der Bursch hätt dir zeigen können wie sie funktioniert, der macht das schon länger.","Fabian: Der Bursch hätt dir zeigen können wie sie funktioniert, der macht das schon länger."
"line:036caaa",152647335992,"Em_Past: Darf ich die auch mal verwenden?","Em_Past: Darf ich die auch mal verwenden?"
"line:0de02ed",152647335993,"Fabian: Da müsst ich erst mit Andi reden, ist nämlich seine.","Fabian: Da müsst ich erst mit Andi reden, ist nämlich seine."
"line:0cb9f8d",152647335994,"Fabian: Bleib du beim fotografieren.","Fabian: Bleib du beim fotografieren."
"line:086e61e",152647335995,"Em_Past: Andi? Den kenn ich gar nicht.","Em_Past: Andi? Den kenn ich gar nicht."
"line:059079d",152647335996,"Fabian: Ein Kollege. Der hat sich mit Video selbständig gemacht und filmt öfter für uns.","Fabian: Ein Kollege. Der hat sich mit Video selbständig gemacht und filmt öfter für uns."
"line:06f22c8",152647335997,"Fabian: Vielleicht kannst du ihm ja mal zuschauen.","Fabian: Vielleicht kannst du ihm ja mal zuschauen."
"line:05a5001",152647335998,"Em_Past: Von meinen Filmen leben können, das will ich auch mal.","Em_Past: Von meinen Filmen leben können, das will ich auch mal."
"line:0026acf",152647335999,"Fabian: Ambitioniert! Das gefällt mir.","Fabian: Ambitioniert! Das gefällt mir."
"line:0c8b6d8",152647336000,"Fabian: Wir brauchen eh mehr Frauen in der Branche.","Fabian: Wir brauchen eh mehr Frauen in der Branche."
"line:07e29bb",152647336001,"Fabian: Schön dass sich Mädchen heute mehr zutrauen.","Fabian: Schön dass sich Mädchen heute mehr zutrauen."
"line:04ce3fd",152647336002,"Fabian: Na schau, wenn man vom Teufel spricht ...","Fabian: Na schau, wenn man vom Teufel spricht ..."
"line:0526f62",152647336003,"Fabian: Servus Andi, wie gehts denn mit dem Schnitt!","Fabian: Servus Andi, wie gehts denn mit dem Schnitt!"
"line:05e9dd3",152647336004,"Fabian: Nächste Woche ist die Messe, weißt d-","Fabian: Nächste Woche ist die Messe, weißt d-"
"line:0ae4540",152647336005,"Andi: Jetzt fangst schon wieder an.","Andi: Jetzt fangst schon wieder an."
"line:09a27f9",152647336006,"Andi: Bis zur Messe ist das Video da, Eder -","Andi: Bis zur Messe ist das Video da, Eder -"
"line:05de83c",152647336007,"Andi: vom Fragen wirds nicht schneller fertig.","Andi: vom Fragen wirds nicht schneller fertig."
"line:0bc48c7",152647336008,"Andi: Aber deswegen ruf ich nicht an.","Andi: Aber deswegen ruf ich nicht an."
"line:031004a",152647336009,"Fabian: Achso -- was ist denn los?","Fabian: Achso -- was ist denn los?"
"line:0eda937",152647336010,"Andi: Was hast denn mit dem Bursch angestellt, endlich ersetzt?","Andi: Was hast denn mit dem Bursch angestellt, endlich ersetzt?"
"line:07fd850",152647336011,"Fabian: Dem Michi?","Fabian: Dem Michi?"
"line:0fae471",152647336012,"Fabian: Nichts -","Fabian: Nichts -"
"line:07ffd32",152647336013,"Fabian: wie kommst du drauf?","Fabian: wie kommst du drauf?"
"line:060ef1d",152647336014,"Andi: Die Fotos in letzter Zeit, die sind nicht von euch.","Andi: Die Fotos in letzter Zeit, die sind nicht von euch."
"line:02559d5",152647336015,"Andi: Normalerweise schafft ihr ja nicht mal scharfe Fotos.","Andi: Normalerweise schafft ihr ja nicht mal scharfe Fotos."
"line:09b4e2e",152647336016,"Andi: Weder er noch du.","Andi: Weder er noch du."
"line:00b4a44",152647336017,"Andi: Bin ich den Tussen aus der Buchhaltung zu teuer geworden, habts wen Billigeren gefunden, huh?","Andi: Bin ich den Tussen aus der Buchhaltung zu teuer geworden, habts wen Billigeren gefunden, huh?"
"line:065872d",152647336018,"Fabian: Ach nein, das ist nur vorübergehend.","Fabian: Ach nein, das ist nur vorübergehend."
"line:01069c9",152647336019,"Fabian: Wir haben Unterstützung diesen Sommer.","Fabian: Wir haben Unterstützung diesen Sommer."
"line:04b1c93",152647336020,"Andi: Der scheint ja was zu können, zumindest mehr als du.","Andi: Der scheint ja was zu können, zumindest mehr als du."
"line:01fb3a5",152647336021,"Andi: Da kann der Bursch auch endlich was lernen.","Andi: Da kann der Bursch auch endlich was lernen."
"line:00bae7a",152647336022,"Fabian: Sie ... Die Emmi ist nur eine Praktikantin.","Fabian: Sie ... Die Emmi ist nur eine Praktikantin."
"line:0741013",152647336023,"Fabian: Aber echt vorbildlich.","Fabian: Aber echt vorbildlich."
"line:0348f7a",152647336024,"Fabian: Immer pünktlich und ordentlich.","Fabian: Immer pünktlich und ordentlich."
"line:0066d9a",152647336025,"Fabian: Und nett ist sie auch, nur nicht so gesprächig.","Fabian: Und nett ist sie auch, nur nicht so gesprächig."
"line:0e25f41",152647336026,"Andi: Na sowas -","Andi: Na sowas -"
"line:036eea1",152647336027,"Andi: eine Praktikantin also ...","Andi: eine Praktikantin also ..."
"line:0cea487",152647336028,"Fabian: Heute hilft sie mir beim Videodreh, -","Fabian: Heute hilft sie mir beim Videodreh, -"
"line:0dc4d8b",152647336029,"Fabian: wenn sie gute Arbeit macht dann wär sie ja was für dich, oder?","Fabian: wenn sie gute Arbeit macht dann wär sie ja was für dich, oder?"
"line:0d3bac0",152647336030,"Andi: Pff, das klingt ja spannend.","Andi: Pff, das klingt ja spannend."
"line:056b8a5",152647336031,"Andi: Wie schaut sie denn aus?","Andi: Wie schaut sie denn aus?"
"line:009a344",152647336032,"Fabian: Wie-","Fabian: Wie-"
"line:0527519",152647336033,"Andi: Eder.","Andi: Eder."
"line:02a25e6",152647336034,"Andi: Tu nicht, du bist ja ein Mann, -","Andi: Tu nicht, du bist ja ein Mann, -"
"line:0bd8d9b",152647336035,"Andi: ist sie auch hübsch?","Andi: ist sie auch hübsch?"
"line:00094a1",152647336036,"Andi: Hat man was zum schauen?","Andi: Hat man was zum schauen?"
"line:03753f9",152647336037,"Fabian: Ach ... sie sitzt eh neben mir im Auto.","Fabian: Ach ... sie sitzt eh neben mir im Auto."
"line:0b19509",152647336038,"Fabian: Frag sie doch selber","Fabian: Frag sie doch selber"
"line:0d11c9d",152647336039,"Andi: !!-","Andi: !!-"
"line:0c0a981",152647336040,"Andi: Achso","Andi: Achso"
"line:086f2e4",152647336041,"Andi: Hehe, war ja nur ein Schmäh.","Andi: Hehe, war ja nur ein Schmäh."
"line:03c78e9",152647336042,"Em_Past: ... haha ich versteh","Em_Past: ... haha ich versteh"
"line:038b3fa",152647336043,"Em_Past: ... haha ich versteh","Em_Past: ... haha ich versteh"
"line:05419c3",152647336044,"Em_Past: Redest du gern so über 15 jährige?","Em_Past: Redest du gern so über 15 jährige?"
"line:0229cbc",152647336045,"Em_Past: Geh dich vergraben, Andi","Em_Past: Geh dich vergraben, Andi"
"line:0767611",152647336046,"Fabian: Schau, sie hat Humor.","Fabian: Schau, sie hat Humor."
"line:0b6cd77",152647336047,"Fabian: Aber ich muss schlussmachen, noch viel Arbeit.","Fabian: Aber ich muss schlussmachen, noch viel Arbeit."
"line:07d13cf",152647336048,"Fabian: Andi, wir reden dann noch wegen dem Schnitt-","Fabian: Andi, wir reden dann noch wegen dem Schnitt-"
"line:0a645b8",152647336049,"Andi: --""""--","Andi: --""""--"
"line:0eb97ef",152647336050,"Fabian: Ich hab ja gesagt er ist eigen ...","Fabian: Ich hab ja gesagt er ist eigen ..."
"line:04dbd59",152647336051,"Em_Past: Er ist ein Hund.","Em_Past: Er ist ein Hund."
"line:0099b9a",152647336052,"Em_Past: Er ist ein Hund.","Em_Past: Er ist ein Hund."
"line:049e638",152647336053,"Em_Past: Warum hast du nichts gesagt?","Em_Past: Warum hast du nichts gesagt?"
"line:0b74e3c",152647336054,"Em_Past: Warum hast du nichts gesagt?","Em_Past: Warum hast du nichts gesagt?"
"line:0a90333",152647336055,"Em_Past: ... das hab ich gemerkt","Em_Past: ... das hab ich gemerkt"
"line:0727b41",152647336056,"Em_Past: ... das hab ich gemerkt","Em_Past: ... das hab ich gemerkt"
"line:0d8d3ea",152647336057,"Fabian: Aber seine Videos sind gut, da kann man sich nicht beschweren.","Fabian: Aber seine Videos sind gut, da kann man sich nicht beschweren."
"line:01ddfe8",152647336058,"Fabian: Irgendwie kommt man schon miteinander klar.","Fabian: Irgendwie kommt man schon miteinander klar."
"line:0583038",152647336059,"Em_Past: Das sagst du leicht.","Em_Past: Das sagst du leicht."
"line:0cbe5fe",152647336060,"Em_Past: Das sagst du leicht.","Em_Past: Das sagst du leicht."
"line:0633958",152647336061,"Em_Past: Ich versteh.","Em_Past: Ich versteh."
"line:08f43b4",152647336062,"Em_Past: Ich versteh.","Em_Past: Ich versteh."
"line:0dffb3b",152647336063,"Fabian: Und du hast ihn wenigstens in Verlegenheit gebracht.","Fabian: Und du hast ihn wenigstens in Verlegenheit gebracht."
"line:05d458a",152647336064,"Fabian: Der redet ja nur immer so.","Fabian: Der redet ja nur immer so."
"line:096f092",152647336065,"Em_Past: ...","Em_Past: ..."
"line:076350b",152647336066,"Em_Past: Meinst du wirklch, dass ich bei ihm mal aushelfen kann?","Em_Past: Meinst du wirklch, dass ich bei ihm mal aushelfen kann?"
"line:0a86f57",152647336067,"Fabian: Wenn du willst,","Fabian: Wenn du willst,"
"line:055d74c",152647336068,"Fabian: dann schick ich dich mit dem Bursch gemeinsam.","Fabian: dann schick ich dich mit dem Bursch gemeinsam."
"line:0a36181",152647336069,"Fabian: Der passt schon auf dich auf, haha.","Fabian: Der passt schon auf dich auf, haha."
"line:024c533",152647336070,"Em_Past: ""Die Tussen aus der Buchhaltung"" was meint er damit?","Em_Past: ""Die Tussen aus der Buchhaltung"" was meint er damit?"
"line:063fa35",152647336071,"Fabian: Bei Firmenausflügen, da hat die Maria immer fotografiert.","Fabian: Bei Firmenausflügen, da hat die Maria immer fotografiert."
"line:059b53a",152647336072,"Fabian: Das hat ihr wirklich Spaß gemacht,","Fabian: Das hat ihr wirklich Spaß gemacht,"
"line:0946a8f",152647336073,"Fabian: aber nur so als Hobby.","Fabian: aber nur so als Hobby."
"line:04fc048",152647336074,"Em_Past: Wie lange fahren wir noch?","Em_Past: Wie lange fahren wir noch?"
"line:0c429ae",152647336075,"Fabian: 20 Minuten circa.","Fabian: 20 Minuten circa."
"line:0e33abb",152647336076,"Em_Present: Ich habe gelacht","Em_Present: Ich habe gelacht"
"line:0d2fa7f",152647336077,"Em_Present: Das macht man doch in der Situation?","Em_Present: Das macht man doch in der Situation?"
"line:01ff64f",152647336078,"Em_Present: Humor","Em_Present: Humor"
"line:011f2bd",152647336079,"Em_Present: Sympathie","Em_Present: Sympathie"
"line:08ff788",152647336080,"Em_Present: nicht kleinlich sein","Em_Present: nicht kleinlich sein"
"line:02b91c9",152647336081,"Em_Present: Der Bursch hätte sicher auch so reagiert.","Em_Present: Der Bursch hätte sicher auch so reagiert."
"line:0b9dad1",152647336082,"Em_Present: Ich arbeite hart und habe viel gelernt, das zählt.","Em_Present: Ich arbeite hart und habe viel gelernt, das zählt."
"line:0285ecf",152647336083,"Em_Present: Aber ich schaue in den Spiegel und der Mann in meinem Kopf fragt","Em_Present: Aber ich schaue in den Spiegel und der Mann in meinem Kopf fragt"
"line:0f0b59c",152647336084,"Em_Present: Bist du auch schön genug?","Em_Present: Bist du auch schön genug?"
"line:085fd67",152647336085,"Em_Present: Wenn du nicht schön bist","Em_Present: Wenn du nicht schön bist"
"line:04d1d0b",152647336086,"Em_Present: und nicht lieb, ...","Em_Present: und nicht lieb, ..."
"line:0bfbd0c",152647336087,"Em_Present: Was zählt dann deine Arbeit?","Em_Present: Was zählt dann deine Arbeit?"
"line:09b26dd",152647336088,"Em_Present: Schön?","Em_Present: Schön?"
"line:08122b3",152647336089,"Em_Present: Heute bin ich es, aber was bringt es mir","Em_Present: Heute bin ich es, aber was bringt es mir"
"line:04b125a",152647336090,"Em_Present: So ein Temperament werde ich mir nie leisten können.","Em_Present: So ein Temperament werde ich mir nie leisten können."
"line:027c0b7",152647336091,"Em_Present: Der Kollege schon","Em_Present: Der Kollege schon"
"line:0197411",152647336092,"Em_Present: er war weder nett noch schön.","Em_Present: er war weder nett noch schön."
"line:05964d1",152647336093,"Otto: Das hier ist ein test","Otto: Das hier ist ein test"
"line:005369f",152647336094,"Em_Past: Sind wir bald fertig?","Em_Past: Sind wir bald fertig?"
"line:05d7028",152647336095,"University: ... wirklich bemerkenswerte Arbeiten.","University: ... wirklich bemerkenswerte Arbeiten."
"line:0f7af2f",152647336096,"University: Natürlich darf ich Ihnen noch nichts versprechen,","University: Natürlich darf ich Ihnen noch nichts versprechen,"
"line:05c7dad",152647336097,"University: aber mit so einer Bewerbung ...","University: aber mit so einer Bewerbung ..."
"line:0db6e6f",152647336098,"University: ... wird die Akademie Sie mit offenen Armen begrüßen.","University: ... wird die Akademie Sie mit offenen Armen begrüßen."
"line:0bd2931",152647336099,"Friend: Erzähl, wie war das Gespräch?","Friend: Erzähl, wie war das Gespräch?"
"line:0ac67b0",152647336100,"Em_Past: Ganz gut glaub ich","Em_Past: Ganz gut glaub ich"
"line:0ce06ba",152647336101,"Em_Past: Sie waren richtig begeistert, das klappt sicher","Em_Past: Sie waren richtig begeistert, das klappt sicher"
"line:060f62b",152647336102,"Em_Past: Sie waren richtig begeistert, das klappt sicher","Em_Past: Sie waren richtig begeistert, das klappt sicher"
"line:0d9b24e",152647336103,"Em_Past: Aber ich will mich nicht zu früh freuen","Em_Past: Aber ich will mich nicht zu früh freuen"
"line:0818084",152647336104,"Em_Past: Aber ich will mich nicht zu früh freuen","Em_Past: Aber ich will mich nicht zu früh freuen"
"line:0879dba",152647336105,"Em_Past: Erzähl dir alles, wenn wir uns wieder sehen","Em_Past: Erzähl dir alles, wenn wir uns wieder sehen"
"line:0f4081e",152647336106,"Announcer: Regionalexpress R75, Bahnsteig 7 A-C, fährt ein.","Announcer: Regionalexpress R75, Bahnsteig 7 A-C, fährt ein."
"line:075310a",152647336107,"Friend: Ich bin stolz!","Friend: Ich bin stolz!"
"line:0fa25f0",152647336108,"Friend: Klar schaffst du das,","Friend: Klar schaffst du das,"
"line:0f3248d",152647336109,"Friend: da bin ich mir sicher","Friend: da bin ich mir sicher"
"line:0c5c877",152647336110,"Em_Past: ...","Em_Past: ..."
"line:09f80c1",152647336111,"Em_Past: Danke <3","Em_Past: Danke <3"
"line:0b8dd9a",152647336112,"Em_Past: Danke <3","Em_Past: Danke <3"
"line:00bed2a",152647336113,"Em_Past: Wenn du das sagst ^^","Em_Past: Wenn du das sagst ^^"
"line:0c838b0",152647336114,"Em_Past: Wenn du das sagst ^^","Em_Past: Wenn du das sagst ^^"
"line:0a05434",152647336115,"Announcer: Nächster Halt, next Stop:","Announcer: Nächster Halt, next Stop:"
"line:0a95e86",152647336116,"Announcer: -&?%=?-dorf","Announcer: -&?%=?-dorf"
"line:066e4e5",152647336117,"Halunken: Jetzt schau dass du heimkommst, sonst kommst morgen nicht auf!","Halunken: Jetzt schau dass du heimkommst, sonst kommst morgen nicht auf!"
"line:0ef459f",152647336118,"Halunken: Schönheitsschlaf würd dir eh nicht schaden.","Halunken: Schönheitsschlaf würd dir eh nicht schaden."
"line:0d74823",152647336119,"Halunken: Grüß deine Alte von mir!","Halunken: Grüß deine Alte von mir!"
"line:049d387",152647336120,"Norbert: Da is eh frei, oder","Norbert: Da is eh frei, oder"
"line:0b677fe",152647336121,"Norbert: Wo musst denn du so spät noch hin?","Norbert: Wo musst denn du so spät noch hin?"
"line:00d487a",152647336122,"Em_Past: Nach Hause","Em_Past: Nach Hause"
"line:0d4b498",152647336123,"Norbert: Vom Fortgehen? Das hab ich in deinem Alter auch immer gemacht","Norbert: Vom Fortgehen? Das hab ich in deinem Alter auch immer gemacht"
"line:0584f27",152647336124,"Em_Past: Achso nein, heute nicht","Em_Past: Achso nein, heute nicht"
"line:0fd047c",152647336125,"Em_Past: Achso nein, heute nicht","Em_Past: Achso nein, heute nicht"
"line:04a8623",152647336126,"Em_Past: Das klingt schön","Em_Past: Das klingt schön"
"line:0005069",152647336127,"Em_Past: Das klingt schön","Em_Past: Das klingt schön"
"line:08f33f0",152647336128,"Norbert: Eine junge Dame wie du muss die Zeit schon genießen.","Norbert: Eine junge Dame wie du muss die Zeit schon genießen."
"line:0f2501f",152647336129,"Em_Past: Ich bemüh mich","Em_Past: Ich bemüh mich"
"line:0cc7a7f",152647336130,"Em_Past: ...","Em_Past: ..."
"line:086bd0e",152647336131,"Em_Past: ...","Em_Past: ..."
"line:0f78c0f",152647336132,"Norbert: Musst nicht schüchtern sein","Norbert: Musst nicht schüchtern sein"
"line:062cd1e",152647336133,"Norbert: Ich bin ein ganz Netter","Norbert: Ich bin ein ganz Netter"
"line:0658b0c",152647336134,"Em_Past: Ich geh nicht so gern fort","Em_Past: Ich geh nicht so gern fort"
"line:0c1f0ce",152647336135,"Em_Past: Ich geh nicht so gern fort","Em_Past: Ich geh nicht so gern fort"
"line:0ca9b9e",152647336136,"Norbert: So eine Brave, das sieht man heute nicht mehr so oft","Norbert: So eine Brave, das sieht man heute nicht mehr so oft"
"line:0e02883",152647336137,"Norbert: Ich bin der Norbert","Norbert: Ich bin der Norbert"
"line:0a6de4a",152647336138,"Norbert: Und wer bist du?","Norbert: Und wer bist du?"
"line:06917e2",152647336139,"Em_Past: Emilia","Em_Past: Emilia"
"line:091f548",152647336140,"Em_Past: Emilia","Em_Past: Emilia"
"line:0d7ec00",152647336141,"Norbert: Emilia, ein schöner Name","Norbert: Emilia, ein schöner Name"
"line:0c5971c",152647336142,"Em_Past: Bianca","Em_Past: Bianca"
"line:0a8024f",152647336143,"Em_Past: Bianca","Em_Past: Bianca"
"line:0bb5a3b",152647336144,"Norbert: Bianca, ein schöner Name","Norbert: Bianca, ein schöner Name"
"line:0ab9198",152647336145,"Norbert: Weißt du, ich wär gern auch wieder so jung","Norbert: Weißt du, ich wär gern auch wieder so jung"
"line:06ee31d",152647336146,"Em_Past: Wirklich?","Em_Past: Wirklich?"
"line:00d86e7",152647336147,"Norbert: Du kannst dich noch richtig ausleben, ohne Verpflichtungen","Norbert: Du kannst dich noch richtig ausleben, ohne Verpflichtungen"
"line:0912c21",152647336148,"Norbert: Dein Freund hat echt Glück, das muss man schon sagen","Norbert: Dein Freund hat echt Glück, das muss man schon sagen"
"line:064e26a",152647336149,"Em_Past: Freund? Ich hab k-","Em_Past: Freund? Ich hab k-"
"line:0b411a2",152647336150,"Norbert: Was?","Norbert: Was?"
"line:090ca4a",152647336151,"Norbert: Das glaub ich ja gar nicht!","Norbert: Das glaub ich ja gar nicht!"
"line:06d380e",152647336152,"Em_Present: Lass das","Em_Present: Lass das"
"line:004264c",152647336153,"Norbert: Du bist so eine fesche Maus","Norbert: Du bist so eine fesche Maus"
"line:07355aa",152647336154,"Em_Present: Bitte nicht ich","Em_Present: Bitte nicht ich"
"line:0f5efb1",152647336155,"Norbert: Sehen das die jungen Burschen nicht?","Norbert: Sehen das die jungen Burschen nicht?"
"line:0c0be40",152647336156,"Em_Present: Sowas passiert nur anderen","Em_Present: Sowas passiert nur anderen"
"line:08c4192",152647336157,"Norbert: Ich mach dir einen Vorschlag:","Norbert: Ich mach dir einen Vorschlag:"
"line:0816326",152647336158,"Norbert: Wenn du mit mir aussteigst","Norbert: Wenn du mit mir aussteigst"
"line:0847c08",152647336159,"Norbert: dann zeig ich dir was du dir entgehen lasst","Norbert: dann zeig ich dir was du dir entgehen lasst"
"line:03d1796",152647336160,"Norbert: zahlen tu ich dir eh auch was","Norbert: zahlen tu ich dir eh auch was"
"line:0f3b7b5",152647336161,"Bystander: Ja was is jetzt? Mach doch was","Bystander: Ja was is jetzt? Mach doch was"
"line:0e5fd1a",152647336162,"Bystander: Wennst dich schon so anziehst ...","Bystander: Wennst dich schon so anziehst ..."
"line:007d5d1",152647336163,"Bystander: Ich würd mir sowas nicht gefallen lassen","Bystander: Ich würd mir sowas nicht gefallen lassen"
"line:026aa0e",152647336164,"Em_Past: Geh weg, das ist ekelhaft!","Em_Past: Geh weg, das ist ekelhaft!"
"line:03f0b69",152647336165,"Em_Past: Wieso hilft mir denn keiner? Seht ihr nicht, was passiert?","Em_Past: Wieso hilft mir denn keiner? Seht ihr nicht, was passiert?"
"line:0a7f4b2",152647336166,"Em_Past: Nimm deine Drecksfinger von mir du notgeiler Arsch!","Em_Past: Nimm deine Drecksfinger von mir du notgeiler Arsch!"
"line:056107b",152647336167,"Announcer: Nächster Halt, next Stop: !?=""/%?","Announcer: Nächster Halt, next Stop: !?=""/%?"
"line:0a6621d",152647336168,"Em_Past: Ich bin doch erst 15","Em_Past: Ich bin doch erst 15"
